NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50,BTR_CVEM_K5,BTR_CVEM_K10,BTR_CVEM_K20,BTR_CVEM_K30,BTR_CVEM_K50,LDA_K5,LDA_K10,LDA_K20,LDA_K30,LDA_K50,sLDA_K5,sLDA_K10,sLDA_K20,sLDA_K30,sLDA_K50
-1.0120803047849278,-1.0074240026371397,-1.004833213352139,-0.9945956069978183,-0.9968082178239502,-0.9980161041958951,-1.0230097898689545,-1.0165470871478766,-1.014565587830077,-1.0146224364169139,-1.0024197432922262,-1.0122558442573923,-1.014399037132595,-1.01321162819242,-1.0147501020581937,-1.0141139867809283,-1.0263916908656059,-1.0240825433287202,-1.0355990622335858,-0.9938350869964987,-1.0130385214822148
-1.0120766036427167,-1.0073815331472233,-1.0047672553268303,-0.9945940215190064,-0.9968001230978869,-0.9980112167527719,-1.0229415507126838,-1.016537334340949,-1.0144784621462408,-1.0145752860979322,-1.0023898981158237,-1.012140745628768,-1.014338357018272,-1.0131932404947501,-1.0147050895898564,-1.0141059428364017,-1.0263851643643067,-1.0239561770433907,-1.0355252972491766,-0.993820350261879,-1.0130371057164758
-1.012046718134157,-1.007292710131289,-1.0047548788808807,-0.99459385448825,-0.9967911037498614,-0.998002871039938,-1.0229044104887315,-1.0164990622056143,-1.014409751517542,-1.0145685861023572,-1.002280076502577,-1.0121176777508984,-1.014293927244697,-1.013105297096317,-1.014692812988345,-1.0140190681885504,-1.0263252177894726,-1.0238767556116186,-1.035461509180399,-0.9937696328719601,-1.0125565298332748
-1.012019255410146,-1.0072837540197406,-1.0046961446983442,-0.9945884173167251,-0.9967880842054981,-0.9979970665184967,-1.0228611619903574,-1.0164109817053903,-1.014363937397749,-1.014444749808897,-1.002242692540791,-1.0120770582433367,-1.0142658035786183,-1.0130431468307184,-1.0146659768097124,-1.0139936704579784,-1.0262503676061285,-1.0238477397764028,-1.035425046213274,-0.9936274582249847,-1.0125275601987
-1.0119169038040727,-1.0072316915538553,-1.0046779605422542,-0.994578078251511,-0.9967800529000862,-0.9979891998699535,-1.0227832433920487,-1.016399647778001,-1.0143530425169536,-1.0143631849168453,-1.0021503358231263,-1.0120759627793776,-1.0141930957970493,-1.0130251695488266,-1.0145643384994127,-1.0138199359493139,-1.0259679481275599,-1.023675428544929,-1.0353404930754655,-0.9934192152666974,-1.0123586985559783
-1.0118113296325846,-1.0071775135616245,-1.0046670482042384,-0.9945761552980581,-0.9967784146080424,-0.9979787120419797,-1.0227344296187204,-1.0163589357258596,-1.0143512977042883,-1.0141953196558626,-1.0020811928890279,-1.0120342193087553,-1.0141438052516794,-1.0128672715851608,-1.0145539546908648,-1.0138133079362543,-1.0257737541595584,-1.0236569288243356,-1.035274949941904,-0.9934172905455012,-1.0122035494952644
-1.0116373091925526,-1.007086391173263,-1.0046533020250228,-0.9945748159791687,-0.996771545569216,-0.9979647355221528,-1.0225724531108702,-1.0163356770175858,-1.0143368242043416,-1.0141783100298385,-1.0020288034052531,-1.0119906810504067,-1.0140616762711323,-1.0128604730532687,-1.0145452343008494,-1.013768499872317,-1.0257459673454732,-1.0236522678583415,-1.0352360508686276,-0.9933697489748179,-1.0119927742953236
-1.011517906926799,-1.0070732754935519,-1.0046340720443045,-0.9945733165453804,-0.9967688104398836,-0.9979646807082828,-1.0224719385588676,-1.0163127139731012,-1.0143089126391849,-1.0141755307042175,-1.0019660168342692,-1.0119683334155398,-1.0140030708310788,-1.0128000615275128,-1.0145280416077653,-1.0136704908877463,-1.0257179722869618,-1.0234741036089043,-1.0350391787550928,-0.9933320045668204,-1.0119109093460188
-1.011480584994239,-1.0070344145762467,-1.0045924913290494,-0.9945695649693396,-0.9967664939288257,-0.9979646596081782,-1.0223961734148261,-1.0162794585995185,-1.014301813460797,-1.0140614882627117,-1.0018405195495774,-1.0119347322285819,-1.0138792182010146,-1.0127669035500713,-1.014507280623673,-1.0136190725302525,-1.0255526676543512,-1.023268830937343,-1.034953344987669,-0.9933294397858559,-1.0118122601815736
-1.0113899558249542,-1.0070334555611298,-1.0045710932671856,-0.9945606865286764,-0.9967648154534381,-0.9979424046444061,-1.0223827150724574,-1.016268152036145,-1.014229895093346,-1.0139305791718238,-1.0018269519271092,-1.0118982264390668,-1.0138571046478326,-1.0126637034126817,-1.0144631075005768,-1.0135554107099758,-1.0252366072442674,-1.0232404093816534,-1.034894053102132,-0.9929683898751566,-1.011574154355611
